title,price,area,price_m2,lon,lat
Prodej bytu 3+kk 63 m² ,3109000, 63, 49349, 14.678259, 50.070183
Prodej bytu 3+kk 69 m² ,3710000, 69, 53768, 14.519175, 50.1558638889
Prodej bytu 3+kk 73 m² ,3910000, 73, 53561, 14.519175, 50.1558638889
Prodej bytu 2+kk 57 m² ,3080000, 57, 54035, 14.519175, 50.1558638889
Prodej bytu 2+kk 51 m² ,2940000, 51, 57647, 14.519175, 50.1558638889
Prodej bytu 2+kk 57 m² ,3070000, 57, 53859, 14.519175, 50.1558638889
Prodej bytu 3+kk 74 m² ,3900000, 74, 52702, 14.519175, 50.1558638889
Prodej bytu 3+kk 75 m² ,3940000, 75, 52533, 14.519175, 50.1558638889
Prodej bytu 2+kk 55 m² ,3100000, 55, 56363, 14.519175, 50.1558638889
Prodej bytu 2+kk 55 m² ,3440000, 55, 62545, 14.519175, 50.1558638889
Prodej bytu 2+kk 52 m² ,3190900, 56, 56980, 14.5112795073, 50.1423779457
